time_stamp	x	y
1660822275.2047782	1366	710
1660822275.2048347	1366	710
1660822275.2048867	1366	710
1660822275.2049353	1366	710
1660822275.2049837	1366	710
1660822275.2050316	1366	710
1660822275.2050798	1366	710
1660822275.205127	1366	710
1660822275.205174	1366	710
1660822275.2052214	1366	710
1660822275.2052693	1366	710
1660822275.2053168	1366	710
1660822275.2053642	1366	710
1660822275.205412	1366	710
1660822275.205459	1366	710
1660822275.2055073	1366	710
1660822275.205555	1366	710
1660822275.205603	1366	710
1660822275.2056503	1366	710
1660822275.2056983	1366	710
1660822275.2057457	1366	710
1660822275.2057927	1366	710
1660822275.2058403	1366	710
1660822275.2058878	1366	710
1660822275.205936	1366	710
1660822275.2059832	1366	710
1660822275.2060454	1366	710
1660822275.2060957	1366	710
1660822275.2061667	1364	712
1660822275.2062163	1364	712
1660822275.2062647	1364	712
1660822275.2063222	1364	712
1660822275.206375	1364	712
1660822275.2064238	1364	712
1660822275.2064726	1364	712
1660822275.206523	1364	712
1660822275.2065725	1364	712
1660822275.2066216	1364	712
1660822275.2066703	1364	712
1660822275.2067192	1364	712
1660822275.2067673	1364	712
1660822275.2068152	1364	712
1660822275.2069118	1364	712
1660822275.2069938	1364	712
1660822275.2070527	1364	712
1660822275.2071118	1364	712
1660822275.207179	1364	712
1660822275.2072446	1364	712
1660822275.207309	1364	712
1660822275.207374	1364	712
1660822275.2074382	1364	712
1660822275.207489	1364	712
1660822275.207538	1364	712
1660822275.2075863	1364	712
1660822275.207635	1364	712
1660822275.207684	1364	712
1660822275.2077327	1364	712
1660822275.2077813	1364	712
1660822275.2078295	1364	712
1660822275.2078772	1364	712
1660822275.2079248	1364	712
1660822275.2079725	1364	712
1660822275.208021	1364	712
1660822275.2080688	1364	712
1660822275.2081168	1364	712
1660822275.2081645	1364	712
1660822275.208212	1364	712
1660822275.2082593	1364	712
1660822275.2083073	1364	712
